OBJECTID,PUBLIC_NAME,LABEL,Exclude,PARENT_NAME,NESTED,OFFICIAL_NAME,ALIAS,DPP_ASSET_ID,ADDRESS_911,ZIP_CODE,ADDRESS_BRT,ALIAS_ADDRESS,ACREAGE,PROPERTY_CLASSIFICATION,PPR_USE,PPR_DISTRICT,PPR_OPS_DISTRICT,COUNCIL_DISTRICT,POLICE_DISTRICT,CITY_SCALE_MAPS,LOCAL_SCALE_MAPS,PROGRAM_SITES,COMMENTS,Shape__Area,Shape__Length
364,West Oak Lane Senior Center,West Oak Ln Senior Center,No,West Oak Lane Senior Center,N,West Oak Lane Senior Center,West Oak Lane Older Adult Center,3477,7210 OGONTZ AVE,19138,7210-18 OGONTZ AVE,7210-18 OGONTZ AVE,0.22888162,POCKET_PARK,OLDER_ADULT_CENTER,4,4,9,14,Y,Y,N,Privately Owned. Currently in review by PPR.,1583.289063,159.2402815
365,Mummers Museum,Mummers,Yes,Mummers Museum,N,,,3478,200 WASHINGTON AVE,19147,"200-10 WASHINGTON AVE, 212-22 WASHINGTON AVE","200-10 WASHINGTON AVE, 212-22 WASHINGTON AVE",0.24996843,POCKET_PARK,MUSEUM,10,7,1,3,Y,Y,N,,1722.535156,174.4729124
366,Diamond Park,Diamond,Yes,Diamond Park,N,,,635,2045 N 18TH ST,19121,1736-44 DIAMOND ST,1736-44 DIAMOND ST,0.2476259,POCKET_PARK,SQUARE_PLAZA,6,6,5,22,Y,Y,N,Parcels split between PRA and City (DPP),1708.984375,162.4526882
367,Ned Wolf Park,Wolf,Yes,Ned Wolf Park,N,Ned Wolf Park,,586,7018 MC CALLUM ST,19119,7018 MC CALLUM ST,Mc Callum St & W Ellet St,0.24682004,POCKET_PARK,SQUARE_PLAZA,4,4,8,14,Y,Y,N,"Former Arco station, funded by Arco.",1706.613281,180.4347273
368,Betsy Ross House,Betsy Ross House,Yes,Betsy Ross House,N,Betsy Ross House,Betsy Ross Flag House Museum,980,239 ARCH ST,19106,239-47 ARCH ST,239-47 ARCH ST,0.2361891,POCKET_PARK,HISTORIC_SITE,10,5,1,6,Y,Y,N,,1628.484375,173.3390392
369,Giuseppe Bardascino Park,Bardascino,Yes,Giuseppe Bardascino Park,N,Giuseppe Bardascino Park,,557,1000 S 10TH ST,19147,1000 S 10TH ST,10th & Carpenter,0.23351745,POCKET_PARK,SQUARE_PLAZA,10,7,1,3,Y,Y,N,,1609.382813,158.2358604
370,Karen Donnelly Park,Donnelly,Yes,Karen Donnelly Park,N,Karen Donnelly Park,,166,230 DICKINSON ST,19147,230-34 DICKINSON ST,230-34 DICKINSON ST,0.23304553,POCKET_PARK,MISC_PARK,10,7,1,3,Y,Y,N,,1605.707031,202.2648908
371,Thomas Hart Park,Hart,Yes,Thomas Hart Park,N,Thomas Hart Park,,578,1321 N 04TH ST,19122,1315-21 N 04TH ST,1315-21 N 04TH ST,0.21553456,POCKET_PARK,MISC_PARK,10,2,5,26,Y,Y,Y,,1486.910156,175.4946393
372,Montgomery and Croskey Play Lot,Montgomery and Croskey,No,Montgomery and Croskey Play Lot,N,,,614,2235 W MONTGOMERY AVE,19121,2225-37 W MONTGOMERY AVE,2225-37 W MONTGOMERY AVE,0.20059691,POCKET_PARK,MISC_PARK,6,6,5,22,Y,Y,Y,,1384.300781,153.0517778
373,Frank Palumbo Sr Park,F Palumbo,No,Frank Palumbo Sr Park,N,Frank Palumbo Sr. Park,Florence Park;Frank Palumbo Park,2,723 CATHARINE ST,19147,723 CATHARINE ST,7th & Catharine,0.20163511,POCKET_PARK,SQUARE_PLAZA,10,7,1,3,Y,Y,N,,1389.707031,151.8683008
374,Hamilton Park,Hamilton,Yes,Hamilton Park,N,,,891,547 RISING SUN AVE,19140,547 RISING SUN AVE,6th & Butler,0.17701566,POCKET_PARK,BREEZEWAY_ISLAND,6,3,7,25,Y,Y,N,,1222.523438,148.0138541
375,Charles J Buckley Park,Buckley,Yes,Charles J Buckley Park,N,Charles J. Buckley Park,,1316,8199 GERMANTOWN AVE,19118,N/A,,0.16285274,POCKET_PARK,BREEZEWAY_ISLAND,4,4,8,14,Y,Y,N,There is no parcel here,1126.839844,150.9980564
376,John C Anderson Cultural Center,J Anderson,No,John C Anderson Cultural Center,N,John C. Anderson Cultural Center,John Anderson Playground,3479,5323 OVERBROOK AVE,19131,5325 OVERBROOK AVE,5235 OVERBROOK AVE;5391 OVERBROOK AVE,0.13331633,POCKET_PARK,RECREATION_SITE,8,8,4,19,Y,Y,Y,"Parcel is Library, PPR only responsible for this portion of the parcel.",920.3515625,144.3167376
377,Mantua Community Garden,Mantua Garden,Yes,Mantua Community Garden,N,,Arco Plaza;34th Street Park;Gateway to Brandywine St Park,34,520 N 34TH ST,19104,520 N 34TH ST,,0.14797246,POCKET_PARK,SQUARE_PLAZA,7,8,3,16,Y,Y,N,No gardening activity here. It is a passive plaza.,1020.578125,127.6425522
378,Madison War Memorial,Madison,Yes,Madison War Memorial,N,,Doughboy,307,595 N 02ND ST,19123,563-65 N 2ND ST,563-65 N 02ND ST,0.14119793,POCKET_PARK,SQUARE_PLAZA,10,5,1,6,Y,Y,N,,973.7929688,139.4259827
379,22nd and Ontario Park,22nd and Ontario,Yes,22nd and Ontario Park,N,,,1185,3400 N 22ND ST,19140,3400-02 N 22ND ST,3400-02 N 22ND ST,0.14864821,POCKET_PARK,MISC_PARK,6,4,8,39,Y,Y,Y,,1026.523438,133.9545674
380,Louis P Paolone Sr Park,Paolone,Yes,Louis P Paolone Sr Park,N,,,349,732 SEARS ST,19147,716-34 SEARS ST,"718-34 SEARS, 8th & Sears;716-34 SEARS ST",0.08951335,POCKET_PARK,SQUARE_PLAZA,9,7,1,3,Y,Y,N,Divided by multiple parcels,616.8242188,135.4434153
