OBJECTID,area,facilityNum,facilityArea,trailMiles,picnicTable,swimmingPoolNum,spraygroundNum,hydrationNum,tennisCourtNum,playgroundNum,treeHeight,programNum,permitNum,programCap,permitCap
"81",23.49995295,0,0,0,0,0,0,0,6,0,36,0,4,0,25
"83",23.51589184,1,745.5390625,0,0,0,1,1,10,2,0,0,72,0,233
"84",74.15825179,9,1117.96875,0,0,0,1,0,10,2,40,0,0,0,0
"85",15.02870949,4,2068.62890625,0,7,0,0,0,0,2,41,0,0,0,0
"87",21.12245344,5,1926.6796875,0,1,0,0,0,0,1,0,0,11,0,80
"88",18.84613709,2,1333.19140625,0,0,0,0,0,0,4,39,0,32,0,1448
"90",17.69740338,2,901.4296875,0,0,1,1,1,15,3,0,0,33,0,645
"91",14.83826654,3,3810.9453125,0,0,0,0,1,3,2,19,0,74,0,1018
"92",16.4611563,1,172.31640625,0,0,0,0,1,0,0,0,0,1,0,25
"93",15.83185436,2,2726.3203125,0,0,1,1,1,3,2,18,0,52,0,267
"94",15.72173189,1,442.48828125,0,0,1,0,1,0,2,13,0,41,0,420
"95",14.68924535,4,1792.6953125,0,0,1,0,0,0,2,0,0,13,0,95
"96",16.36916298,5,2701.4453125,0,5,1,1,1,6,2,0,0,90,0,452
"97",14.22119289,1,348.98828125,0,0,0,1,1,6,2,26.3333333333333,0,30,0,280
"98",13.12051496,3,9343.953125,0,0,0,0,1,28,2,0,426,60,59.6115079365079,710
"99",13.62146671,2,3205.51171875,0,0,0,1,1,3,2,28.6153846153846,0,33,0,283
"100",14.64808094,0,0,0,0,0,0,0,0,0,40.5,0,0,0,0
"101",12.46289021,2,975.5859375,0,2,0,1,0,6,2,45,0,31,0,260
"102",12.37033782,4,1779.0234375,0,3,1,0,1,10,2,18,0,37,0,888
"103",13.73990355,7,818.90234375,0,2,0,1,1,0,2,11,0,38,0,235
"104",12.12361947,8,15185.61328125,0,0,0,0,0,0,0,46,0,92,0,659
"105",12.03396792,2,783.62109375,0,15,0,0,1,0,2,46.3333333333333,0,4,0,16
"106",11.44183675,4,775.33984375,0,0,1,1,1,3,2,22.5,171,60,88.2222222222222,508
