FacilityID,Facility,ProgramID,ActvityTypeCategory,ActivityType,Gender,AgeLow,AgeHigh,AttendanceWeekDate,RegisteredIndividualsCount,UniqueIndividualCount,ProgramScheduleID,DateFrom,DateTo,weekday,AttendenceRealDate
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4728,Athletic,Soccer,M/F,3,5,2021/09/06,60,60,8225,2021/08/31,2021/10/13,Thursday,2021/09/09
{6DCEECCE-1B1E-4B3C-A3EA-EDE7AE766F7F},Lower Mayfair Playground,461,Athletic,Gymnastics / Tumbling,M/F,4,18,2021/11/29,12,11,8416,2021/10/06,2022/04/28,Thursday,2021/12/02
{6DCEECCE-1B1E-4B3C-A3EA-EDE7AE766F7F},Lower Mayfair Playground,456,After School,After School,M/F,6,12,2021/11/29,15,12,8315,2021/09/13,2022/05/27,Tuesday,2021/11/30
{696BABB9-CB2C-4D1D-8A40-DBC327D80C5D},Morris Estate Cultural Center,4343,Cultural,Health & Wellness,M/F,18,100,2021/12/13,0,0,8651,2021/09/13,2021/12/16,Wednesday,2021/12/15
{696BABB9-CB2C-4D1D-8A40-DBC327D80C5D},Morris Estate Cultural Center,4189,Other,Video Games,M/F,8,17,2021/12/13,0,0,8654,2021/09/07,2021/12/28,Thursday,2021/12/16
{13600B8B-AB62-4A39-95CF-5F31C6942010},Thomas B. Smith Recreation Center,4758,After School,After School,M/F,6,12,2021/12/27,14,0,8379,2021/09/13,2022/06/10,Tuesday,2021/12/28
{13600B8B-AB62-4A39-95CF-5F31C6942010},Thomas B. Smith Recreation Center,4758,After School,After School,M/F,6,12,2021/12/20,14,10,8379,2021/09/13,2022/06/10,Tuesday,2021/12/21
{298809CB-A118-4234-8A54-54260C378AD7},Gambrel Playground,1301,Athletic,Basketball,M/F,3,16,2021/12/27,100,100,8850,2021/12/20,2022/03/28,Tuesday,2021/12/28
{298809CB-A118-4234-8A54-54260C378AD7},Gambrel Playground,1183,Athletic,Cheerleading,M/F,6,14,2021/12/20,100,10,8542,2021/08/30,2021/12/23,Tuesday,2021/12/21
{DCF40A6C-2B11-4CC5-9284-EEF363A0D7AD},Lackman Memorial Playground,4804,Educational,Educational,M/F,3,4,2021/12/27,0,0,8512,2021/09/20,2022/05/20,Tuesday,2021/12/28
{DCF40A6C-2B11-4CC5-9284-EEF363A0D7AD},Lackman Memorial Playground,4802,Educational,Educational,M/F,5,14,2021/12/06,6,0,8506,2021/09/13,2022/05/27,Tuesday,2021/12/07
{696BABB9-CB2C-4D1D-8A40-DBC327D80C5D},Morris Estate Cultural Center,4189,Other,Video Games,M/F,8,17,2021/12/27,0,0,8654,2021/09/07,2021/12/28,Thursday,2021/12/30
{696BABB9-CB2C-4D1D-8A40-DBC327D80C5D},Morris Estate Cultural Center,4189,Other,Video Games,M/F,8,17,2021/12/20,0,0,8654,2021/09/07,2021/12/28,Thursday,2021/12/23
{F7465F8D-CF0C-4DB7-9074-81CC00BD16B8},Marian Anderson Recreation Center,4756,After School,After School,M/F,6,12,2021/12/27,11,0,8376,2021/09/13,2022/05/31,Tuesday,2021/12/28
{F7465F8D-CF0C-4DB7-9074-81CC00BD16B8},Marian Anderson Recreation Center,4756,After School,After School,M/F,6,12,2021/12/20,11,9,8376,2021/09/13,2022/05/31,Tuesday,2021/12/21
{FC68DFB6-7C48-4955-A6C6-52B22B605AAF},Emanuel Recreation Center,1201,After School,After School,M/F,5,12,2021/12/27,4,0,8310,2021/10/01,2022/05/27,Tuesday,2021/12/28
{FC68DFB6-7C48-4955-A6C6-52B22B605AAF},Emanuel Recreation Center,1201,After School,After School,M/F,5,12,2021/12/20,4,1,8310,2021/10/01,2022/05/27,Tuesday,2021/12/21
