placekey,naics_code,location_name,parkLat,parkLng
zzz-222@63s-dwf-9mk,712190,Eastwick Park," 39.905327","-75.237819"
zzz-222@628-pj6-9pv,712190,Tacony Creek Park," 40.03314","-75.113094"
zzz-222@628-pfx-n89,712190,Manayunk Canal," 40.027059","-75.227979"
zzz-222@628-pfv-bzf,712190,Clifford Park," 40.034769","-75.18925"
zzz-222@628-p8m-xdv,713990,Lower Mayfair Playground," 40.029389","-75.061017"
zzz-222@628-pg4-4jv,712190,Howell Park," 40.030258","-75.168738"
zzz-222@628-pj9-f4v,712190,HarperS Hollow Park," 40.042841","-75.152442"
zzz-222@628-pp5-m8v,713990,Trenton and Auburn Playground," 39.986195","-75.116586"
zzz-222@628-pmd-tn5,712190,OConnor Pool," 39.946","-75.183345"
zzz-222@628-pmb-zs5,712190,Franklin Square," 39.955835","-75.150176"
226-222@628-pjk-qzz,713990,Northwestern Equestrian Facility," 40.084223","-75.231882"
zzz-222@63s-dvp-cyv,712190,60Th and Baltimore Rec Nec," 39.944612","-75.244097"
zzz-222@628-pj5-kcq,713990,Jose Manuel Collazo Playground," 39.999599","-75.130597"
zzz-222@628-pmd-xwk,712190,Julian Abele Park," 39.940885","-75.179309"
zzz-222@628-ph6-sbk,712190,Triangle Park," 39.983373","-75.231939"
zzz-222@628-p8h-h5z,712190,Vogt Recreation Center," 40.027994","-75.049113"
zzz-222@63s-dvx-d35,712190,Lucien E Blackwell Park," 39.964935","-75.215025"
zzy-222@628-pg8-r6k,713990,Dairy Fields," 39.98642","-75.197343"
zzz-222@628-pgg-yd9,713990,Shuler Playground," 40.001994","-75.175275"
zzw-222@628-pm4-fpv,713940,ShapelyGirl Fitness Center," 39.922994","-75.172765"
zzz-222@63s-dvq-jqf,712190,Sayre Morris Recreation Center," 39.95677","-75.238691"
zzz-222@628-pj9-t9z,712190,Fisher Park," 40.043012","-75.130986"
zzz-222@628-pj5-35z,712190,11Th and Venango Play Lot," 40.007233","-75.146728"
zzz-222@628-pnz-xqz,712190,Campbell Square Park," 39.986452","-75.103422"
zzz-222@628-pg6-9mk,712190,Allens Lane Park," 40.051852","-75.203361"
zzz-222@628-pgg-bkz,713990,Panati Playground," 40.001923","-75.165965"
zzz-222@628-p72-6zf,712190,Fluehr Park," 40.054616","-74.988449"
222-222@628-pgk-9pv,713990,Chamounix Equestrian Center," 40.00307","-75.198508"
zzz-222@628-pj9-qmk,712190,Clarkson Park," 40.035789","-75.145023"
zzz-222@628-pj2-kfz,712190,Merritt Square Park," 40.004048","-75.102305"
zzy-222@628-pmf-wkz,712190,Schuylkill Banks," 39.952207","-75.180675"
zzz-222@628-pp5-rtv,713990,Hissey Playground," 39.994138","-75.123405"
zzz-222@63s-dw6-89z,712190,Fort Mifflin," 39.875974","-75.211649"
zzz-222@628-pm4-mrk,713990,Capitolo Playground," 39.933534","-75.159701"
zzz-222@628-pfw-xkf,712190,Fernhill Park," 40.019707","-75.168201"
zzz-222@628-p8m-49z,713990,Wissinoming Playground," 40.024738","-75.068034"
zzz-222@628-pj3-fxq,713990,Happy Hollow Playground," 40.024157","-75.16611"
zzz-222@628-pfy-fs5,712190,Gorgas Park," 40.036979","-75.22137"
zzz-222@628-pfv-y35,712190,Mcmichael Park," 40.017998","-75.187882"
zzz-222@628-pr4-33q,712190,Poquessing Creek Park Mechanicsville," 40.113728","-74.96434"
zzy-222@628-pmc-q9f,713110,Herron Park Playground & Sprayground," 39.930762","-75.148597"
zzz-222@628-pgd-wp9,713990,Miles Mack Playground," 39.967681","-75.19562"
zzw-222@628-pg9-tgk,712190,Roberto Clemente Park & Playground," 39.96568","-75.168047"
zzz-222@628-pm7-mff,712190,Vare Recreation Center," 39.931282","-75.188955"
zzw-222@628-pg9-h5z,713110,Mander Playground," 39.99089","-75.188804"
zzz-222@628-pgj-cdv,713990,Amos Playground," 39.981253","-75.160363"
zzz-222@628-pm4-7wk,712190,Ralph Brooks Park," 39.931526","-75.177761"
zzz-223@628-pm3-tn5,712190,Tolentine Community Park," 39.926505","-75.163348"
zzz-222@628-pgh-2rk,712190,20Th and Tioga Ballfield," 40.00779","-75.161881"
zzz-222@628-p74-fzz,713990,Ramp Playground," 40.048423","-75.024582"
zzz-222@628-p8d-nkf,713990,Deni Playground," 40.012476","-75.092267"
zzz-222@628-p7v-rzf,712190,Jardel Recreation Center," 40.056563","-75.076008"
zzz-222@63s-dvp-brk,712190,Sherwood Park," 39.946841","-75.237474"
zzz-222@628-pgd-3bk,712190,Fairmount Park," 39.988484","-75.201672"
zzz-222@628-phz-mkz,712190,Scanlon Recreation Center," 40.00188","-75.108601"
zzz-223@628-pmb-2x5,712190,Delancey Park," 39.944186","-75.147845"
zzz-222@628-pm4-47q,712190,Ford Recreation Center," 39.923002","-75.157177"
zzz-222@63s-dvx-hqz,713990,Conestoga Community Playground," 39.975214","-75.227321"
zzz-222@628-pgg-sqz,712190,Etting Square," 40.005821","-75.174216"
zzz-222@63s-dvr-fxq,712190,Buist Park," 39.91854","-75.232985"
zzz-222@628-pgh-sqz,713990,Penrose Playground," 39.986128","-75.151734"
zzz-222@628-pgh-whq,712190,Fotteral Square," 39.989283","-75.151155"
zzz-222@628-p9s-tjv,712190,Poquessing Creek Park Stevens," 40.128197","-74.994422"
zzz-222@628-pgj-m8v,712190,Officer Daniel Boyle Park," 39.988368","-75.146246"
zzz-222@628-pgc-zcq,712190,Philadelphia Stars Negro League Memorial Park," 39.977682","-75.213732"
zzz-222@628-pmb-q75,712190,Irish Memorial," 39.94739","-75.141943"
zzz-222@628-pj2-k9f,712190,Juniata Park Older Adult Center," 40.003714","-75.10458"
zzz-222@628-pmb-s5z,712190,Foglietta Plaza," 39.944692","-75.142942"
228-222@628-pnx-psq,712190,Hancock Park," 39.9729","-75.137224"
zzz-222@628-pgm-jgk,712190,Gustine Recreation Center," 40.012019","-75.20134"
zzw-222@63s-dvw-dqf,712190,West Mill Creek," 39.968063","-75.223251"
zzz-222@628-pjf-nh5,712190,Water Tower Recreation Center," 40.076164","-75.200768"
zzw-222@628-pmb-cdv,624120,Palumbo Recreation Center," 39.941223","-75.15872"
zzz-222@628-pjf-k4v,712190,Winston Park," 40.073054","-75.199234"
zzy-222@628-p9s-ffz,713110,Daniel Boyle Playground," 40.122684","-75.006983"
zzz-222@628-pg4-zvf,713990,Mallery Playground," 40.047826","-75.179107"
zzz-222@628-pmc-n89,713940,Rizzo Ice Rink," 39.932747","-75.14542"
zzz-222@628-p86-gc5,713990,Fox Chase Playground," 40.072921","-75.079898"
zzz-222@63s-dw2-hbk,713990,Papa Playground," 39.974412","-75.257384"
239-222@63s-dw2-3qz,712190,Granahan," 39.969137","-75.249962"
zzz-222@628-phq-f4v,712190,West Oak Lane Senior Center," 40.064351","-75.154264"
zzz-222@628-pmc-pn5,713990,Sacks Playground," 39.933818","-75.151442"
zzw-222@63s-dw2-8qf,713940,Laura Sims SkateHouse in Cobbs Creek Park," 39.960013","-75.247708"
