year,month,region,iso_country_code,census_block_group,number_devices_residing,number_devices_primary_daytime
2021,1,pa,US,"420770056013",75,49
2021,1,pa,US,"420810108001",76,98
2021,1,pa,US,"420034884004",76,61
2021,1,pa,US,"420430220002",64,53
2021,1,pa,US,"420710140003",259,238
2021,1,pa,US,"420710144011",63,50
2021,1,pa,US,"420770061023",34,39
2021,1,pa,US,"421010205001",72,56
2021,1,pa,US,"420110008002",49,48
2021,1,pa,US,"420110102011",104,75
2021,1,pa,US,"420171008081",175,120
2021,1,pa,US,"420333312003",54,38
2021,1,pa,US,"420410117003",94,73
2021,1,pa,US,"420691122001",56,56
2021,1,pa,US,"421010202002",16,14
2021,1,pa,US,"421010305011",42,37
2021,1,pa,US,"420035211001",49,46
2021,1,pa,US,"420035628002",41,33
2021,1,pa,US,"420454035011",54,40
2021,1,pa,US,"420454071012",172,102
2021,1,pa,US,"420454071021",52,44
2021,1,pa,US,"420691111002",36,33
2021,1,pa,US,"420691121002",62,47
2021,1,pa,US,"420710122004",589,489
2021,1,pa,US,"420912060062",108,137
2021,1,pa,US,"421010333001",54,56
2021,1,pa,US,"420199102004",67,51
2021,1,pa,US,"420454090003",61,48
2021,1,pa,US,"420639607003",117,116
2021,1,pa,US,"421190904002",94,76
2021,1,pa,US,"420110140001",335,348
2021,1,pa,US,"420171058052",68,58
2021,1,pa,US,"420770052003",40,31
2021,1,pa,US,"420792176003",35,32
2021,1,pa,US,"421010016001",47,29
2021,1,pa,US,"421010040014",47,28
2021,1,pa,US,"421150323002",58,38
2021,1,pa,US,"420099610004",55,44
2021,1,pa,US,"420131017001",38,28
2021,1,pa,US,"420199106003",60,50
2021,1,pa,US,"420710109004",133,101
2021,1,pa,US,"420750026001",75,66
2021,1,pa,US,"420810112003",103,89
2021,1,pa,US,"420850314002",26,18
2021,1,pa,US,"420990304003",128,89
2021,1,pa,US,"421010180024",27,20
2021,1,pa,US,"421330238104",62,44
2021,1,pa,US,"420110123001",28,18
2021,1,pa,US,"420410106002",42,37
2021,1,pa,US,"420710111001",61,45
2021,1,pa,US,"420770069052",67,62
2021,1,pa,US,"420912039013",30,29
