X,Y,OBJECTID,PARK_NAME,AGE_RANGE,DATE_INSTALLED,COMMENTS,DATA_SOURCE
-75.1824743347747,40.0569561331918,309,Pleasant Playground,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1876346078809,40.0576802362899,310,Mount Airy Playground,2_5_YEARS,,,"Pictometry 2020, Playground Equipment 2017"
-75.2037158492299,40.0513668797888,311,Allens Lane Art Center,2_5_YEARS,,,"Pictometry 2020, Playground Equipment 2017"
-75.2282883106612,40.0418549175716,312,Joseph V Kelly Memorial Playground,2_5_YEARS,,,"Google Street View 2018, Playground Equipment 2017, Pictometry 2020"
-75.2289801159086,40.0339874315308,313,Hillside Recreation Center,2_5_YEARS,,Next to Recreation Center,"Cyclomedia 2018, Playground Equipment 2017, NearMap2021"
-75.230665826987,40.0330757766278,314,Hillside Recreation Center,2_5_YEARS,,On the Southwest Corner,"Cyclomedia 2018, Playground Equipment 2017, NearMap2021"
-75.211611230664,40.0290171408538,315,W Freeland Kendrick Recreation Center,2_5_YEARS,,,"Google Street View 2018, Playground Equipment 2017, Pictometry 2020"
-75.2206850425066,40.025455711282,316,Pretzel Park,2_5_YEARS,2019/03/01 00:00:00+00,,"Capital 2020; Pictometry 2020"
-75.2033534207699,40.0227073200466,317,David P Montgomery Field,2_5_YEARS,,,"Google Street View 2018, Playground Equipment 2017, Pictometry 2020"
-75.1574066908707,40.061374937528,318,William B Simons Recreation Center,2_5_YEARS,,,"Pictometry 2020, Playground Equipment 2017"
-75.1659446615157,40.0535855696419,319,Awbury Park and Recreation Center,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017"
-75.1595800850533,40.0501557091593,320,Lonnie Young Recreation Center of East Germantown,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1688499626903,40.0453413766033,321,Waterview Recreation Center,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.174570857319,40.0395361871462,322,Morton Playground,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1768506691258,40.0362306832826,323,Vernon Park,2_5_YEARS,,,"Pictometry 2020, Playground Equipment 2017"
-75.1877053493249,40.0087886577862,324,Harry S McDevitt Playground,2_5_YEARS,2013/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1562298708603,40.0425758827891,325,Belfield Recreation Center,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1489728059289,40.0396580130743,326,Fanny Kemble Abolitionist Memorial Park,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.2005045713429,40.0755718213402,327,Water Tower Recreation Center,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1771961568491,40.0515708678345,328,Cliveden Park,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1798946135747,40.0477944163429,329,Daniel E Rumph II Recreation Center,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1746965090611,40.0021091535906,330,James Allen Shuler Playground,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1798606175415,39.9979526451918,331,29th and Chalmers Playground,2_5_YEARS,2010/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1755181509585,39.987359432169,332,Eric W (Hank) Gathers Jr Recreation Center,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1614168555222,40.0064455011922,333,Jerome Brown Playground,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1658592353719,40.0018511615657,334,Vincent G Panati Playground,2_5_YEARS,2015/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1673742844734,39.9941714793759,335,Cecil B Moore Recreation Center,2_5_YEARS,2018/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1717254788572,39.9821770814425,336,Montgomery and Croskey Play Lot,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1697195929352,39.9807380227564,337,Dr Martin Luther King Jr Recreation Center,2_5_YEARS,2014/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1558046907802,40.0005081344086,338,Heritage Park Playground,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.157571052329,39.988789664427,339,Marie Winchester Playground,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.160319020666,39.9817745149932,340,Fletcher B Amos Playground,2_5_YEARS,2013/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1495334887572,39.996801496677,341,12th and Cambria Playground,2_5_YEARS,2011/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1460421611176,39.989407927805,342,Veterans Memorial Recreation Center of the Nineteenth Ward,2_5_YEARS,2013/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1518774683661,39.9862213803778,343,Penrose Memorial Playground,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1379230489683,40.0007746999961,344,Ramonita Negron Rivera Recreation and Community Center,2_5_YEARS,2019/05/01 00:00:00+00,,NearMap 2021
-75.1390057203049,39.9906110779884,345,Fairhill Square,2_5_YEARS,2017/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1382974509137,39.9891791133481,346,Frank S Nelson Jr Memorial Recreation Center,2_5_YEARS,2020/01/01 00:00:00+00,Installed between 2019-2020.,Pictometry 2020
-75.1292646225795,40.0019597047439,347,John (Steve) Schmidt Playground,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1328314002863,39.9884993417804,348,Waterloo Playground,2_5_YEARS,2021/10/01 00:00:00+00,"2021 Renovation, moved to this location.","NearMap 2021, Capital Drawings 2021"
-75.1349872614807,39.9825068892416,349,Norris Square,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.2082853590978,40.002381523161,350,Woodside Park,2_5_YEARS,2010/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1878157576346,39.988962053805,351,Joseph E Mander Playground,2_5_YEARS,2016/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1990860789163,39.9735853080929,352,Clayborne and Lewis Playground,2_5_YEARS,2004/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.2005346523913,39.9658764803438,353,Norman (Butch) Ellis Playground,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1957208440356,39.9672795199565,354,Miles Mack Playground,2_5_YEARS,2021/03/01 00:00:00+00,Rebuild renovations in 2021,NearMap2021
-75.1905442291553,39.9650671826514,355,33rd and Wallace Playground,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.178167362378,39.978247421932,356,Athletic Recreation Center,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1666944289962,39.9688221306439,357,Francisville Recreation Center,2_5_YEARS,2012/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1675887941267,39.9655702673435,358,Roberto Clemente Playground,2_5_YEARS,2011/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1835428253994,39.9481274231297,359,William H (Billy) Markward Memorial Playground,2_5_YEARS,2017/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.179362105252,39.9423075698804,360,22nd and Catharine Park,2_5_YEARS,,Looks like Non-PPR Equipment,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1713646942886,39.9421155126006,361,Marian Anderson Recreation Center,2_5_YEARS,2018/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.2318960873511,39.9835536911541,362,Triangle Park,5_12_YEARS,2014/01/01 00:00:00+00,,"Pictometry 2020, Playground Equipment 2017"
-75.2411023033799,39.9820026888216,363,Ernest L Tustin Recreation Center,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.256229400628,39.9743843300739,364,Charles A Papa Playground,2_5_YEARS,2015/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.2601639605939,39.9729197373523,365,Samuel Rose Recreation Center,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.228087110321,39.9753834477809,366,Conestoga Community Playground,2_5_YEARS,2016/10/01 00:00:00+00,,NearMap 2021
-75.2344718634119,39.9671596230333,367,Haddington-Marshall L Shepard Sr Recreation Center,2_5_YEARS,,,"Pictometry 2020, Playground Equipment 2017"
-75.2390331425948,39.9565199462573,368,Howard Sayre Morris Recreation Center,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017"
-75.2295676713022,39.9635166332757,369,Ann P Nichols Park,2_5_YEARS,2017/01/01 00:00:00+00,,NearMap 2021
-75.2344650014337,39.948985705572,370,Albert W Christy Sr Recreation Center,2_5_YEARS,2017/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.2226115796721,39.9670227793817,371,West Mill Creek,2_5_YEARS,2014/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.2257628897276,39.9528330298912,372,Malcolm X Memorial Park,5_12_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.2164775278269,39.9711727523314,373,Sister Clara Muhammad Square,2_5_YEARS,2010/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.2155633487788,39.9659561109027,374,Mill Creek Playground and Recreation Center,2_5_YEARS,2014/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.2102061441064,39.9617603787975,375,John A Lee Cultural Center,2_5_YEARS,,,"Pictometry 2020, Playground Equipment 2017"
-75.2095734861503,39.9478678528845,376,Clarence H Clark Park,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.2099479193246,39.9422365871743,377,48th and Woodland Playground,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.2171552443643,39.9422446455821,378,Kingsessing Recreation Center,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.2383513672199,39.9408979192556,379,Whitby Avenue Playground,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.2279640027784,39.9349663274868,380,Francis J Myers Recreation Center,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.2305740912171,39.9236202389985,381,George Connell Park,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
