GEOID,population
"421010362032",1191
"421010313002",1722
"421010236003",701
"421019804001",0
"421010254004",1035
"421010321003",1459
"421010344004",2781
"421010086021",868
"421010011012",992
"421010018001",926
"421010028021",1299
"421010032002",445
"421010039021",1938
"421010041011",547
"421010096005",953
"421010102001",668
"421010111004",1446
"421010115004",598
"421010134011",1044
"421010012021",1394
"421010261003",1486
"421010056001",1158
"421010143001",1159
"421010208002",713
"421010291004",1000
"421010315015",1585
"421010100004",1504
"421010364001",1037
"421010345021",1282
"421010256001",932
"421010095004",1380
"421010334004",2241
"421010152004",1180
"421019802001",554
"421010171003",1203
"421010305025",868
"421010040024",757
"421010113001",1169
"421010357021",1698
"421010170003",896
"421010237004",1186
"421010037011",508
"421010197001",1433
"421010197002",1392
"421010105003",2175
"421010118004",711
"421010011021",950
"421010277002",916
"421010298005",716
"421010348031",1179
"421010249004",919
"421010257003",904
"421010266004",1682
"421010311022",727
"421010318003",893
"421010326002",807
"421010195013",1533
"421010212001",1248
"421010385001",579
"421010144001",801
"421010152005",571
"421010169024",704
"421010081011",1687
"421010167013",1329
"421010138001",472
"421010151012",1031
"421010157001",453
"421010357011",2211
"421010061002",725
"421010065002",511
"421010070002",360
"421010074005",524
"421010081013",1022
"421010083011",1529
"421010242002",653
"421010249002",178
"421010255003",715
"421010170002",515
"421010353011",2770
"421010383002",1126
"421010203002",1607
"421010207003",2020
"421010217004",898
"421010239002",679
"421010300006",1004
"421010390007",1291
"421010273001",759
"421010276002",337
"421010283003",502
"421010287002",1222
"421010246002",1442
"421010264001",730
"421010266008",706
"421010268001",1404
"421010071023",532
"421010013001",501
"421010031004",771
"421010037015",1063
"421019807001",0
"421010152002",1392
"421010122011",526
"421010361001",1391
"421010122012",2250
"421010085007",1343
"421010141002",1059
"421010321001",1749
"421010205001",1561
"421010388002",950
"421010310003",714
