objectid,park_name,site_number,table_count,comments,data_source,lat,lng
283,Fox Chase Farm,0,25,"Non-Fixed Tables related to Fox Chase Farm , may not be publicly accessible.",NearMap 2020,40.09026947779425,-75.07488325375098
284,Fox Chase Farm,0,5,"Non-Fixed Tables related to Fox Chase Farm , may not be publicly accessible. Behind the Manor House",NearMap 2020,40.09077794982589,-75.07392205610013
285,Ann P Nichols Park,0,2,Non-Fixed Tables,NearMap 2020,39.963598207946966,-75.22953292455273
286,John J McCreesh Sr Playground,0,4,Renovated during 2020 Site Upgrades. Mix of fix and non-fixed tables.,Capital and Communications 2020,39.92563194125308,-75.24067052285373
287,Gold Star Park,0,2,"2 fixed tables (1 standard, 1 ADA)",Capital and Communications Info 2020,39.93288925219609,-75.15507856640177
288,Historic Rittenhouse Town,0,7,7 Non-Fixed Tables located near Rittenhouse Building 211.,NearMap2020/Pictometry 2020,40.029063857042644,-75.1919757396993
289,Hancock Playground,0,2,Rebuild Site Renovations in 2020. Fixed Tables.,"Capital 2021, NearMap 2020",39.972402636827866,-75.13721954001427
290,Hancock Playground,0,3,Rebuild Site Renovations in 2020. Fixed Tables.,"Capital 2021, NearMap 2020",39.97275948992646,-75.13740113522518
291,Miles Mack Playground,,5,5 fixed tables installed in 2021,NearMap2021,39.96720099145039,-75.19608747998157
292,8th and Diamond Playground,,5,"2 fixed picnic tables, 3 smaller game tables; Installed 2020-2021 (Rebuild)","Capital Drawings 2021;NearMap 2021",39.983322855407785,-75.14727771322544
293,Fox Chase Farm,0,4,"Non-Fixed Tables related to Fox Chase Farm , may not be publicly accessible.",NearMap 2021,40.09038301738696,-75.0739650088454
294,Fisher Park,0,3,Non-fixed tables,NearMap 2021,40.04355188239663,-75.13068801399726
295,Carmella DiTizio Playground,0,5,,NearMap 2021,40.01115904471476,-75.07319581281239
296,Dr Martin Luther King Jr Recreation Center,0,3,,NearMap 2021,39.98033904128274,-75.16941869777541
297,Columbus Square,,6,,NearMap 2021,39.93295916166709,-75.16439459567347
298,Jacob Stinger Park,,3,,NearMap 2021,39.93598531885194,-75.19822121861516
299,Marie Dendy Recreation Center,,2,,NearMap 2021,39.975206664569725,-75.1511344715391
300,Benson Park,,4,,NearMap 2021,39.97356853967676,-75.14311564243437
301,Von Colln Field,,4,,NearMap 2021,39.9638095262565,-75.1762185897108
302,Carousel House Recreation Center,0,3,Non-fixed tables,NearMap 2021,39.97854638133063,-75.21283372236523
303,Woodside Park,0,1,,NearMap 2021,40.00221773313201,-75.20834962170377
304,Carousel House Recreation Center,0,2,Non-fixed tables,NearMap 2021,39.97948895751866,-75.21359774315334
305,Jacob Stinger Park,0,2,,NearMap 2021,39.93648029150554,-75.19776051744236
306,East Fairmount Park,0,1,Along Schuylkill River Trail and Kelly Drive ,NearMap 2021,39.9901721509558,-75.19739842112261
