OBJECTID,PUBLIC_NAME,PARENT_NAME,NESTED,OFFICIAL_NAME,LABEL,ALIAS,DPP_ASSET_ID,ADDRESS_911,ZIP_CODE,ADDRESS_BRT,ALIAS_ADDRESS,ACREAGE,PROPERTY_CLASSIFICATION,PPR_USE,PPR_DISTRICT,PPR_OPS_DISTRICT,COUNCIL_DISTRICT,POLICE_DISTRICT,CITY_SCALE_MAPS,LOCAL_SCALE_MAPS,PROGRAM_SITES,COMMENTS,Shape__Area,Shape__Length
468,3rd and Norris Playground,3rd and Norris Playground,N,,3rd and Norris , ,2903,273 W NORRIS ST,19122,"259-61 W NORRIS ST, 263-73 W NORRIS ST","259-61 W NORRIS ST;263-73 W NORRIS ST;253-73 W NORRIS ST",0.23281031,POCKET_PARK,MISC_PARK,6,6,7,26,Y,Y,Y,,1606.54296875,165.15367207228
469,Howard and Reed Park,Howard and Reed Park,N,,Howard and Reed, ,433,105 REED ST,19147,107 REED ST,"105-09 REED ST;107 REED ST",0.07930905,POCKET_PARK,BREEZEWAY_ISLAND,10,7,1,3,Y,Y,N,Divided by multiple parcels,546.46875,92.313925202624
470,Sartain Garden,Sartain Garden,N,,Sartain Garden,Sartain Street Community Garden,99999,201 S SARTAIN ST,19107,1114-18 LOCUST ST,1114-18 LOCUST ST,0.08407577,POCKET_PARK,URBANAGRICULTURE_GARDEN,10,5,1,6,Y,Y,N,,579.60546875,104.185412049336
471,South Street Community Garden,South Street Community Garden,N,South Street Community Garden,South St Garden,South St Community Garden,99999,839 SOUTH ST,19147,831-39 SOUTH ST,831-39 SOUTH ST,0.20561096,POCKET_PARK,URBANAGRICULTURE_GARDEN,10,7,1,3,Y,Y,N,,1417.25,154.38477282629
472,Brewerytown Garden,Brewerytown Garden,N,,Brewerytown Garden,Brewerytown Community Garden,3767,1341 N 27TH ST,19121,"2634-44 MASTER ST, 1339 N 27TH ST, 1331 N 27TH St","2634-44 MASTER ST, 1339 N 27TH ST, 1331 N 27TH St",0.47675546,POCKET_PARK,URBANAGRICULTURE_GARDEN,7,6,5,22,Y,Y,N,,3289.49609375,357.616128486443
473,Discovery Center at East Fairmount Reservoir,East Fairmount Park,Y,The Discovery Center at East Fairmount Reservoir,Discovery Center,,3778,3395 RESERVOIR DR,19121,2500 SPRING GARDEN ST,"3401 RESERVOIR DR;2500 SPRING GARDEN ST;3369 RESERVOIR DR",51.19340812,REGIONAL_PARK,ENVIRONMENTAL_EDUCATION_CENTER,7,5,4,22,Y,Y,N,,353307.15234375,2752.240504477
474,Chamounix Aerial Adventure Course,West Fairmount Park,Y,,Aerial Adventure,Treetop Quest,0,3730 CHAMOUNIX DR,19131,3401 W GIRARD AVE,"51 Chamounix Dr;3401 W GIRARD AVE",16.8760356,NEIGHBORHOOD_PARK,ATHLETIC_OTHER,7,5,4,16,N,N,N,"Original lease agreement went to centerline, reduced to curbline. Created in 2018",116511.19921875,1722.4006874257
475,Boathouse Row,East Fairmount Park,Y,,Boathouse Row,,0,870 KELLY DR,19130,N/A,,4.31957624,NEIGHBORHOOD_PARK,BOATHOUSE_LAUNCH,7,5,5,9,N,Y,N,"Located in East Fairmount Park. Unofficial boundary that denotes the area known as Boathouse Row, includes all boathouses in this stretch of Kelly Drive (except Lloyd Hall)",29797.77734375,1238.65244553277
476,Mollbore Terrace Park at 8th St,Mollbore Terrace Park,Y,,Mollbore Terrace, ,235,703 MOLLBORE TER,19148,701 1/2 MOLLBORE TER,"1226 MOLLBORE TER, Mollbore Ter & 8th;701 1/2 MOLLBORE TER",0.47767365,POCKET_PARK,BREEZEWAY_ISLAND,9,7,1,3,N,N,N,,3289.86328125,269.054244737424
477,Mollbore Terrace Park at 11th St,Mollbore Terrace Park,Y,,Mollbore Terrace, ,431,1032 MOLLBORE TER,19148,1032 MOLLBORE TER,"1226 MOLLBORE TER, Mollbore Ter & 11th",0.47017059,POCKET_PARK,BREEZEWAY_ISLAND,9,7,2,3,N,N,N,,3238.23828125,267.731995884458
